Company Name,Skill,Title
Novartis Healthcare Pvt. Ltd.,"Service delivery, Unix, IT services, Computer science, SAN, Healthcare...",1
Novartis Healthcare Pvt. Ltd.,"Service management, Relationship management, Architecture, Technical design...",1
Novartis Healthcare Pvt. Ltd.,"Service management, Solution architecture, Relationship management...",1
Novartis Healthcare Pvt. Ltd.,"Solution architecture, Application integration, Architecture, Coding...",1
Novartis Healthcare Pvt. Ltd.,"Solution architecture, Enterprise architecture, Legal...",1
Novartis Healthcare Pvt. Ltd.,"Solution architecture, Relationship management, Business services, Solution...",1
Novartis Healthcare Pvt. Ltd.,"Solution architecture, Service delivery, Compliance, Technical design...",1
Novartis Healthcare Pvt. Ltd.,"Solution design, Business consulting, Quality standards, SAP, Architecture,...",1
Novartis Healthcare Pvt. Ltd.,"Solution design, ERP, Business consulting, Quality standards, SAP, Customer...",1
Novartis Healthcare Pvt. Ltd.,"System architecture, Business analysis, Management systems...",1
Novartis Healthcare Pvt. Ltd.,"Unix, Performance tuning, C++, Linux, Enterprise applications, Windows...",1
Novartis Healthcare Pvt. Ltd.,"Unix, System architecture, advanced analytics, Solution design...",1
Novartis Healthcare Pvt. Ltd.,"advanced analytics, Data management, Architecture, Compliance, Consulting...",1
Novartis Healthcare Pvt. Ltd.,"operational support, development testing, Architecture, Compliance...",1
Novartis Healthcare Pvt. Ltd.,"security architect, Drupal, JBoss, Information security, Healthcare, HTTP...",1
Novartis Healthcare Pvt. Ltd.,"security architect, ERP, Change management, Cisa, Coding, Consulting...",1
OPTIMIZED SOLUTIONS,"server, development, oracle, functions, Project management, Workflow...",1
OSI DIGITAL PRIVATE LIMITED,"c#, mvc framework, asp.net mvc, reporting services, oops, sql server...",1
OSI Systems Pvt Ltd,"Wireless, Telecom, Networking, WAN, VPN, VOIP, Healthcare, cisco...",1
Novartis Healthcare Pvt. Ltd.,"Relationship management, Technical operations, Access management, Cloud...",1
Novartis Healthcare Pvt. Ltd.,"Procurement, Computer science, Service management, Networking, IVR, CCNA...",1
Novartis Healthcare Pvt. Ltd.,"Procurement, Computer science, Service delivery, Change management...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Change management, Content management, Project management...",1
Novartis Healthcare Pvt. Ltd.,"Computer science, Technical Architect, Matrix, Coding, Architectural design...",1
Novartis Healthcare Pvt. Ltd.,"Computer science, Time management, Web development, Javascript, Application...",1
Novartis Healthcare Pvt. Ltd.,"Computer science, operational support, Version control, orchestration...",1
Novartis Healthcare Pvt. Ltd.,"Crisis management, Data management, Access management, Problem management...",1
Novartis Healthcare Pvt. Ltd.,"GIS, Computer science, Operations Manager, AS400, Control-M, Healthcare...",1
Novartis Healthcare Pvt. Ltd.,"GIS, Service management, Application support, French, Access management...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Automation, Content management, Information security...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Automation, Information security, Configuration management...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Business services, operational support, Service level...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Change management, Business Analyst, Process documentation...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Change management, Project estimation, Business Analyst...",1
Novartis Healthcare Pvt. Ltd.,"Procurement, Business services, Change management, PMP, IT strategy...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Computer science, Change management, Problem management...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Computer science, ERP, Business consulting...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Computer science, Lead Operations, Problem management...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Computer science, Problem management, Incident management...",1
Novartis Healthcare Pvt. Ltd.,"IT services, Computer science, Service management, WAN, Problem management,...",1
